UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 03:47 ?        00:00:07 /sbin/init splash
root           2       0  0 03:47 ?        00:00:00 [kthreadd]
root           3       2  0 03:47 ?        00:00:00 [rcu_gp]
root           4       2  0 03:47 ?        00:00:00 [rcu_par_gp]
root           6       2  0 03:47 ?        00:00:00 [kworker/0:0H-kblockd]
root           7       2  0 03:47 ?        00:00:00 [kworker/u2:0-events_power_efficient]
root           8       2  0 03:47 ?        00:00:00 [mm_percpu_wq]
root           9       2  0 03:47 ?        00:00:01 [ksoftirqd/0]
root          10       2  0 03:47 ?        00:00:00 [rcu_sched]
root          11       2  0 03:47 ?        00:00:00 [migration/0]
root          12       2  0 03:47 ?        00:00:00 [idle_inject/0]
root          14       2  0 03:47 ?        00:00:00 [cpuhp/0]
root          15       2  0 03:47 ?        00:00:00 [kdevtmpfs]
root          16       2  0 03:47 ?        00:00:00 [netns]
root          17       2  0 03:47 ?        00:00:00 [rcu_tasks_kthre]
root          18       2  0 03:47 ?        00:00:00 [rcu_tasks_rude_]
root          19       2  0 03:47 ?        00:00:00 [rcu_tasks_trace]
root          20       2  0 03:47 ?        00:00:00 [kauditd]
root          21       2  0 03:47 ?        00:00:00 [khungtaskd]
root          22       2  0 03:47 ?        00:00:00 [oom_reaper]
root          23       2  0 03:47 ?        00:00:00 [writeback]
root          24       2  0 03:47 ?        00:00:00 [kcompactd0]
root          25       2  0 03:47 ?        00:00:00 [ksmd]
root          26       2  0 03:47 ?        00:00:00 [khugepaged]
root          72       2  0 03:47 ?        00:00:00 [kintegrityd]
root          73       2  0 03:47 ?        00:00:00 [kblockd]
root          74       2  0 03:47 ?        00:00:00 [blkcg_punt_bio]
root          75       2  0 03:47 ?        00:00:00 [tpm_dev_wq]
root          76       2  0 03:47 ?        00:00:00 [ata_sff]
root          77       2  0 03:47 ?        00:00:00 [md]
root          78       2  0 03:47 ?        00:00:00 [edac-poller]
root          79       2  0 03:47 ?        00:00:00 [devfreq_wq]
root          80       2  0 03:47 ?        00:00:00 [watchdogd]
root          82       2  0 03:47 ?        00:00:00 [pm_wq]
root          86       2  0 03:47 ?        00:00:00 [kswapd0]
root          87       2  0 03:47 ?        00:00:00 [ecryptfs-kthrea]
root          89       2  0 03:47 ?        00:00:00 [kthrotld]
root          90       2  0 03:47 ?        00:00:00 [acpi_thermal_pm]
root          91       2  0 03:47 ?        00:00:00 [scsi_eh_0]
root          92       2  0 03:47 ?        00:00:00 [scsi_tmf_0]
root          93       2  0 03:47 ?        00:00:00 [scsi_eh_1]
root          94       2  0 03:47 ?        00:00:00 [scsi_tmf_1]
root          95       2  0 03:47 ?        00:00:00 [kworker/u2:2-events_unbound]
root          96       2  0 03:47 ?        00:00:00 [vfio-irqfd-clea]
root          97       2  0 03:47 ?        00:00:00 [ipv6_addrconf]
root         107       2  0 03:47 ?        00:00:00 [kstrp]
root         110       2  0 03:47 ?        00:00:00 [zswap-shrink]
root         111       2  0 03:47 ?        00:00:00 [kworker/u3:0]
root         116       2  0 03:47 ?        00:00:00 [charger_manager]
root         159       2  0 03:47 ?        00:00:00 [scsi_eh_2]
root         160       2  0 03:47 ?        00:00:00 [scsi_tmf_2]
root         161       2  0 03:47 ?        00:00:04 [kworker/0:1H-kblockd]
root         181       2  0 03:47 ?        00:00:00 [jbd2/sda5-8]
root         182       2  0 03:47 ?        00:00:00 [ext4-rsv-conver]
root         222       1  0 03:47 ?        00:00:01 /lib/systemd/systemd-journald
root         239       2  0 03:47 ?        00:00:00 [kworker/0:4-events]
root         245       1  0 03:47 ?        00:00:00 /lib/systemd/systemd-udevd
root         246       2  0 03:47 ?        00:00:00 [irq/18-vmwgfx]
root         247       2  0 03:47 ?        00:00:00 [ttm_swap]
root         252       2  0 03:47 ?        00:00:00 [loop1]
root         254       2  0 03:47 ?        00:00:00 [loop2]
root         257       2  0 03:47 ?        00:00:00 [loop3]
root         259       2  0 03:47 ?        00:00:00 [loop4]
root         261       2  0 03:47 ?        00:00:00 [loop5]
root         262       2  0 03:47 ?        00:00:00 [loop6]
root         263       2  0 03:47 ?        00:00:00 [loop7]
root         293       2  0 03:47 ?        00:00:00 [iprt-VBoxWQueue]
systemd+     491       1  0 03:48 ?        00:00:00 /lib/systemd/systemd-resolved
systemd+     492       1  0 03:48 ?        00:00:00 /lib/systemd/systemd-timesyncd
root         526       1  0 03:48 ?        00:00:00 /usr/lib/accountsservice/accounts-daemon
root         527       1  0 03:48 ?        00:00:00 /usr/sbin/acpid
avahi        529       1  0 03:48 ?        00:00:00 avahi-daemon: running [anthony-VirtualBox.local]
root         534       1  0 03:48 ?        00:00:00 /usr/sbin/cron -f
root         535       1  0 03:48 ?        00:00:00 /usr/sbin/cupsd -l
